# z dn_dz
0.000000000000000000e+00 3.255502118676653536e-03
2.500000000000000139e-02 3.808864436898022621e-02
5.000000000000000278e-02 1.834450124218980349e-01
7.500000000000001110e-02 2.561953128355114462e-01
1.000000000000000056e-01 1.638096712417945744e-01
1.250000000000000000e-01 4.126751890842413339e-01
1.500000000000000222e-01 3.354790978858910311e-01
1.750000000000000167e-01 6.227679013232694238e-01
2.000000000000000111e-01 9.412856971900843694e-01
2.250000000000000056e-01 9.554482548704226197e-01
2.500000000000000000e-01 7.324015867770194976e-01
2.750000000000000222e-01 1.101951476839994282e+00
3.000000000000000444e-01 6.888520700164295629e-01
3.250000000000000111e-01 8.617069706997183554e-01
3.500000000000000333e-01 1.123291512822901295e+00
3.750000000000000000e-01 7.166657810817265162e-01
4.000000000000000222e-01 9.194710404958840178e-01
4.250000000000000444e-01 1.224534079190643832e+00
4.500000000000000111e-01 1.216045838053226191e+00
4.750000000000000333e-01 1.293484778691462944e+00
5.000000000000000000e-01 1.580313287845071191e+00
5.250000000000000222e-01 1.338884449651882802e+00
5.500000000000000444e-01 1.389472236459954324e+00
5.750000000000000666e-01 1.139318959417938260e+00
6.000000000000000888e-01 1.624648167586643766e+00
6.250000000000000000e-01 1.392826630864422821e+00
6.500000000000000222e-01 1.019488649338755160e+00
6.750000000000000444e-01 1.072449703718230340e+00
7.000000000000000666e-01 1.060075753814640365e+00
7.250000000000000888e-01 9.425130459792118165e-01
7.500000000000000000e-01 1.077525291147333864e+00
7.750000000000000222e-01 8.527418059216361756e-01
8.000000000000000444e-01 8.475667701757912953e-01
8.250000000000000666e-01 8.142815786869551653e-01
8.500000000000000888e-01 6.919840574633105978e-01
8.750000000000000000e-01 8.454425917499668319e-01
9.000000000000000222e-01 6.714517148155234594e-01
9.250000000000000444e-01 4.301304281293689136e-01
9.500000000000000666e-01 4.992262484927907917e-01
9.750000000000000888e-01 5.746843273139107255e-01
1.000000000000000000e+00 3.912673127382091387e-01
1.025000000000000133e+00 4.415262693188845566e-01
1.050000000000000044e+00 3.705355436430476934e-01
1.074999999999999956e+00 3.480052885082982050e-01
1.100000000000000089e+00 3.811145603207772292e-01
1.125000000000000000e+00 2.645076745531210749e-01
